content,score,at
sangat bagus untuk membantu bapak ibu guru dalam melihat datanya dengan cepat,5,2024-11-09 10:26:43
sangat membantu app ini karena kami membutuhkan informasi trimakasih simpatika,5,2024-11-21 19:08:36
aplikasi paling top kereen banget lengkap yang membuat aplikasi pinter banget sudah diberi kecerdasan ilmu dan mau untuk berbagi terima kasih semoga sukses selalu,5,2020-10-23 00:21:23
alhamdulillaah sangat membantu,5,2025-01-06 16:55:20
saya berikan bintang  karena semua ikhtiar demi kebaikan walaupun masih perlu pengembangan saya berikan apresiasi yang setinggitingginya terimakasih app ini sangat bermanfaat bagi kami para guru diseluruh nusantara,5,2020-09-29 22:34:58
boleh saya kasih full  bintang tapi ada syarat nya he he tolong permudah saya ketika saya lupa password karena dah berbagai cara apapun saya ikuti instruksi untuk reset password namun belum berhasil juga hingga sekarang,5,2020-02-19 11:15:21
aplikasi simpel dan mudah dipahamimudahmudahan di masa depan di aplikasi simpatika memberikan banyak solusi untuk kbm di lingkungan kemenag,5,2020-06-13 09:21:51
mudah mengerjakan sesuatu terutama apabila ada kesalahan pengisian data dengan mudah diperbaiki,5,2020-01-31 16:15:11
layanannya sangat bagus dan membantu dalam menyiapkan dokumen,5,2023-03-02 12:22:32
terima kasih dgn adanya app ini bisa terbantu dan cepat memantau data saya dan mendapatkan informasi dari kemenag,5,2021-06-07 03:12:39
siap simpatika adalah layanan komunikasi yang sangat bermanfaat bagi guru yang tertakit dengan informasi dari kemenag memudahkan para guru dibawah naungan kemenag untuk selalu mendapatkan informasi aktual yang dapat dipertanggungjawabkan dan sangat membantu karena akan selalu mendapatkan informasi terbaru sehingga tidak akan ketinggalan informasi tentunya informasi yang sangat diharapkan guru tentunya hal hal yang bersifat membantu kelancaran kerja dan kebijakan pemerintah yang berpihak pada guru seperti inpasing yang belum didapat oleh sebagian besar guru yang sebenarnya sudah memenuhi syarat sangat berharap kapan ya inpasing digulirkan semoga bisa dapatkanikut menikmati sebelum pensiun sebagai buah pengapdian yang tulus dan ikhlas dengan segenap kebanggaan dan kesetiaan,5,2021-06-24 10:55:36
sangat membantu sukses selalu,5,2024-10-01 11:39:26
mantab dan sangat bagus untuk membantu keperluan yang di butuhkan,5,2024-09-06 12:05:14
sangat membantu semoga bermanfaat ,5,2024-11-05 09:11:38
terus tingkatkan perubahan kearah yang lebih baik dan mudah,5,2024-11-04 13:36:37
sangat membantu mendapat informasi,5,2024-10-30 14:52:21
sangat bermanfaat untuk ummat,5,2024-09-19 21:39:39
bagus dan mudah penggunaannya,5,2024-12-18 05:50:31
terimakasih untuk yg membuat app ini  memudahkan saya untuk melihat data dan menerima info dari kemenag,5,2021-02-13 08:15:49
aplikasinya belum bisa dipakai semuanya,5,2024-10-28 07:41:18
maju terus kemenag,5,2025-01-06 11:50:55
aku berharap bisa dipanggil lagi ikut ppgpernah dipanggil  tapi kendala jaringantolong bantu saya krn tdk ppg sy tdk bisa usul naik pangkatterimakasih,5,2021-09-11 16:52:38
iklan selalu mengganggu jangan ada ikalan lagi,5,2018-10-10 21:14:12
sangat membantu semoga lebih di tingkatkan lagi,5,2020-02-16 21:29:06
terimakasih dengan apk ini kita dapat lebih mudah masuk akun ptk masingasing,5,2021-10-07 09:30:24
bagus sekali tidak berbelit belit mudah untuk di buka,5,2020-10-13 05:46:32
sangat membantu lewat hp lebih cepat akses,5,2020-12-16 05:10:32
bagus cara pengoperasian lebih mudah,5,2020-08-03 14:54:13
dengan aplikasi siap simpatika saya dapat mengetahui informasi penting yang disampaikan kemenag untuk guruguru yang mana tidak semua informasi dari kemenag disampaikan ke guruguru atau bahkan kepala sekolah tidak atau belum mengetahui informasi terbaru,5,2020-12-06 05:24:42
segera atasi kelambatan yg terjadi,5,2018-11-01 08:59:56
luar biasa saya dapat memantau perkembangan akun dan madrasah binaan saya dengan mudah jazakallohu,5,2020-11-29 05:13:09
