content,score,aspek,sentimen,aspek,sentimen
aplikasi sangat membantu pekerjaan,5,Kepraktisan,Positif  ,Kepraktisan,Positif
fiturnya lengkap mudah digunakan,5,Fitur,Positif  ,Fitur,Negatif
sering error  login ,2,Autentikasi,Negatif  ,Autentikasi,Negatif
tampilannya menarik user-friendly,5,Performa,Positif  ,Fitur,Positif
butuh akses internet stabil,3,Kepraktisan,Netral  ,Informasi,Positif
membantu sekali mengelola data,5,Kepraktisan,Positif  ,Kepraktisan,Positif
loading lama membuka aplikasi,2,Performa,Negatif  ,Performa,Negatif
bagus sangat bermanfaat,5,Umum,Positif  ,Kepraktisan,Positif
banyak iklan mengganggu,2,Iklan,Negatif  ,Iklan,Negatif
terkadang sulit login ,3,Autentikasi,Netral  ,Autentikasi,Negatif
mempermudah pekerjaan guru,5,Kepraktisan,Positif  ,Kepraktisan,Positif
aplikasi sering crash,2,Performa,Negatif  ,Performa,Negatif
informasi diberikan sangat akurat,5,Informasi,Positif  ,Informasi,Positif
butuh pembaruan lebih stabil,3,Performa,Netral  ,Informasi,Positif
mudah digunakan semua orang,5,Kepraktisan,Positif  ,Kepraktisan,Positif
iklan terlalu sering muncul,2,Iklan,Negatif  ,Kepraktisan,Negatif
sangat membantu mencari data,5,Kepraktisan,Positif  ,Informasi,Positif
fitur-fiturnya canggih update,5,Fitur,Positif  ,Fitur,Negatif
login  sering gagal,2,Autentikasi,Negatif  ,Autentikasi,Negatif
terkadang lambat memuat halaman,3,Performa,Netral  ,Performa,Negatif
desainnya simpel enak dipakai,5,Performa,Positif  ,Kepraktisan,Positif
data ditampilkan kurang lengkap,3,Informasi,Netral  ,Fitur,Negatif
aplikasi sangat lambat,2,Performa,Negatif  ,Performa,Positif
sangat  praktis digunakan,5,Kepraktisan,Positif  ,Kepraktisan,Positif
suka tiba-tiba keluar sendiri,2,Performa,Negatif  ,Performa,Negatif
informasi disajikan kurang update,3,Informasi,Netral  ,Informasi,Negatif
butuh peningkatan kecepatan,3,Performa,Netral  ,Performa,Positif
fitur pencarian sangat membantu,5,Fitur,Positif  ,Fitur,Positif
aplikasi terlalu berat HP lama,2,Performa,Negatif  ,Kepraktisan,Negatif
iklan muncul sedang bekerja,2,Iklan,Negatif  ,Kepraktisan,Negatif
